Date,Close,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,volatility_10d,volatility_20d,volatility_60d
2005-07-22,4.90524,"4.865,00","4.910,53","4.836,10",,"0,42%",0.004226858963171514,0.01723835278246303,0.00878023500225749,0.008114191110152852,0.0015770433604926858,0.005028519821573384,0.005000134684708926,0.00453466301167351
2005-07-25,4.87816,"4.856,71","4.885,83","4.856,11",,"-0,55%",-0.005535921900105189,0.004226858963171514,0.01723835278246303,0.00878023500225749,0.006580033772662103,0.006005957820451127,0.005315791871636703,0.004604224223161956
2005-07-26,4.88754,"4.853,94","4.889,67","4.850,46",,"0,19%",0.001921009837403895,-0.005535921900105189,0.004226858963171514,0.01723835278246303,0.008114191110152852,0.005962126692638231,0.005299880530236238,0.00454667297523085
2005-07-27,4.88473,"4.852,66","4.893,79","4.852,66",,"-0,06%",-0.0005750966924670882,0.001921009837403895,-0.005535921900105189,0.004226858963171514,0.00878023500225749,0.006155800608004899,0.005261993288530568,0.0045108172956239475
2005-07-28,4.91428,"4.879,51","4.914,38","4.872,27",,"0,60%",0.006031239803915764,-0.0005750966924670882,0.001921009837403895,-0.005535921900105189,0.01723835278246303,0.006154834440968983,0.0053227129615463775,0.004430390413967734
2005-07-29,4.90246,"4.911,18","4.918,68","4.902,46",,"-0,24%",-0.0024081325800857797,0.006031239803915764,-0.0005750966924670882,0.001921009837403895,0.004226858963171514,0.006508155068964028,0.005113325316476243,0.004444202381858338
2005-08-01,4.89395,"4.875,97","4.898,86","4.875,97",,"-0,17%",-0.0017373715760345529,-0.0024081325800857797,0.006031239803915764,-0.0005750966924670882,-0.005535921900105189,0.0067315319129676796,0.00506033838858921,0.004451705336738726
2005-08-02,4.89414,"4.864,77","4.894,14","4.864,76",,"0,00%",3.882269166372566e-05,-0.0017373715760345529,-0.0024081325800857797,0.006031239803915764,0.001921009837403895,0.006613908074341259,0.0050221979448650585,0.00444356945250048
2005-08-03,4.91044,"4.897,55","4.910,71","4.897,55",,"0,33%",0.0033249797578352763,3.882269166372566e-05,-0.0017373715760345529,-0.0024081325800857797,-0.0005750966924670882,0.0062823262429480735,0.004952145237782413,0.0044283366255221095
2005-08-04,4.9377,"4.911,08","4.937,70","4.910,71",,"0,56%",0.005536084909950663,0.0033249797578352763,3.882269166372566e-05,-0.0017373715760345529,0.006031239803915764,0.0037671067610247806,0.004912995005034444,0.004431541675201433
2005-08-05,4.94625,"4.939,43","4.956,81","4.937,65",,"0,17%",0.0017300779815019173,0.005536084909950663,0.0033249797578352763,3.882269166372566e-05,-0.0024081325800857797,0.0036152078594123478,0.004925813810239158,0.0043841826675115655
2005-08-08,4.95477,"4.941,66","4.954,77","4.938,38",,"0,17%",0.001721035227278109,0.0017300779815019173,0.005536084909950663,0.0033249797578352763,-0.0017373715760345529,0.002840048919305552,0.0049046235926700574,0.00434471867362595
2005-08-09,4.96629,"4.916,85","4.966,31","4.916,85",,"0,23%",0.002322333536437393,0.001721035227278109,0.0017300779815019173,0.005536084909950663,3.882269166372566e-05,0.0028485671187048825,0.00488679695435816,0.004345419476121899
2005-08-10,4.9855,"4.985,50","4.985,50","4.985,50",,"0,39%",0.00386061680549803,0.002322333536437393,0.001721035227278109,0.0017300779815019173,0.0033249797578352763,0.0028177023174296833,0.0048755588569167905,0.004354443850482778
2005-08-11,4.97452,"4.957,97","4.975,65","4.957,97",,"-0,22%",-0.002204815742942049,0.00386061680549803,0.002322333536437393,0.001721035227278109,0.005536084909950663,0.0027242256695127506,0.004990304208836186,0.004324002705556073
2005-08-12,5.00813,"4.969,96","5.008,13","4.969,96",,"0,68%",0.006733708383567601,-0.002204815742942049,0.00386061680549803,0.002322333536437393,0.0017300779815019173,0.0029002468577769822,0.005044363846396371,0.004368760667384918
2005-08-15,5.05072,"5.017,88","5.050,72","5.000,49",,"0,85%",0.008468215454614632,0.006733708383567601,-0.002204815742942049,0.00386061680549803,0.001721035227278109,0.00317020691247861,0.005126284542449093,0.004456076711975191
2005-08-16,5.07863,"5.048,13","5.079,04","5.044,31",,"0,55%",0.005510732797520193,0.008468215454614632,0.006733708383567601,-0.002204815742942049,0.002322333536437393,0.003042611660891876,0.005031909198735632,0.004475479076565764
2005-08-17,5.09731,"5.076,48","5.110,88","5.067,96",,"0,37%",0.003671409419216221,0.005510732797520193,0.008468215454614632,0.006733708383567601,0.00386061680549803,0.0030398344553164767,0.0048631940588181885,0.004461990042895066
2005-08-18,5.12571,"5.095,82","5.140,39","5.095,82",,"0,56%",0.005556102415843867,0.003671409419216221,0.005510732797520193,0.008468215454614632,-0.002204815742942049,0.0030411586084302293,0.0035996685562011558,0.004487093293915107
2005-08-19,5.15142,"5.110,98","5.151,42","5.110,98",,"0,50%",0.005003352810431713,0.005556102415843867,0.003671409419216221,0.005510732797520193,0.006733708383567601,0.002976625119389109,0.003624403003646228,0.0044486713104929885
2005-08-22,5.16277,"5.143,65","5.165,79","5.143,56",,"0,22%",0.002200852336709186,0.005003352810431713,0.005556102415843867,0.003671409419216221,0.008468215454614632,0.002938276677610023,0.003102701274722893,0.004405517585016245
2005-08-23,5.18896,"5.147,29","5.197,22","5.147,29",,"0,51%",0.005060034579842557,0.002200852336709186,0.005003352810431713,0.005556102415843867,0.005510732797520193,0.002879934759514726,0.00313326344814555,0.004340853379808266
2005-08-24,5.1963,"5.188,48","5.204,95","5.188,48",,"0,14%",0.0014135421206926805,0.005060034579842557,0.002200852336709186,0.005003352810431713,0.003671409419216221,0.0030296127599736666,0.0030443929600483238,0.004334783145027821
2005-08-25,5.1302,"5.182,94","5.191,32","5.129,43",,"-1,27%",-0.012802189084701219,0.0014135421206926805,0.005060034579842557,0.002200852336709186,0.005556102415843867,0.005945918036528394,0.00460169268051141,0.00470666475276435
2005-08-26,5.04305,"5.102,24","5.102,24","5.041,98",,"-1,70%",-0.01713358699877462,-0.012802189084701219,0.0014135421206926805,0.005060034579842557,0.005003352810431713,0.008540982527375122,0.006251623976697277,0.005075140229816863
2005-08-29,5.06569,"5.028,60","5.075,65","5.028,60",,"0,45%",0.0044792996662895105,-0.01713358699877462,-0.012802189084701219,0.0014135421206926805,0.002200852336709186,0.008224902021856214,0.006241244740879868,0.005089773395204475
2005-08-30,5.07512,"5.062,34","5.078,31","5.057,88",,"0,19%",0.001859812523481012,0.0044792996662895105,-0.01713358699877462,-0.012802189084701219,0.005060034579842557,0.008046807099435723,0.0062286286096315535,0.005085506854034233
2005-08-31,5.09902,"5.070,05","5.099,04","5.069,65",,"0,47%",0.004698194434537829,0.001859812523481012,0.0044792996662895105,-0.01713358699877462,0.0014135421206926805,0.008106172361908607,0.006253661518412291,0.005101818637501675
2005-09-01,5.09829,"5.094,87","5.109,79","5.094,87",,"-0,01%",-0.00014317501404716775,0.004698194434537829,0.001859812523481012,0.0044792996662895105,-0.012802189084701219,0.007871711986322874,0.00620788596014824,0.005085030262238773
2005-09-02,5.1692,"5.104,81","5.169,97","5.104,33",,"1,39%",0.013812748279906892,-0.00014317501404716775,0.004698194434537829,0.001859812523481012,-0.01713358699877462,0.008976036335263213,0.006782512954899434,0.005324160259442105
2005-09-05,5.21203,"5.175,41","5.216,08","5.172,67",,"0,83%",0.008251477524946906,0.013812748279906892,-0.00014317501404716775,0.004698194434537829,0.0044792996662895105,0.009312689388887355,0.0069139378020932766,0.005343244925898836
2005-09-06,5.18445,"5.237,88","5.239,73","5.180,23",,"-0,53%",-0.005305654355701168,0.008251477524946906,0.013812748279906892,-0.00014317501404716775,0.001859812523481012,0.00938097225721677,0.00713297555517244,0.005352903282137849
2005-09-07,5.11561,"5.173,92","5.173,92","5.115,61",,"-1,33%",-0.013367111458117161,-0.005305654355701168,0.008251477524946906,0.013812748279906892,0.004698194434537829,0.010243090423355628,0.007913034593770022,0.00566341578822625
2005-09-08,5.08415,"5.112,02","5.115,38","5.077,29",,"-0,61%",-0.006168792160762864,-0.013367111458117161,-0.005305654355701168,0.008251477524946906,-0.00014317501404716775,0.009631018440418807,0.008053523957787453,0.005731928047594107
2005-09-09,5.09687,"5.084,46","5.096,87","5.044,46",,"0,25%",0.002498768614239813,-0.006168792160762864,-0.013367111458117161,-0.005305654355701168,0.013812748279906892,0.0077771310349611785,0.007952363862199293,0.005724767912558326
2005-09-12,5.12602,"5.101,50","5.126,17","5.100,13",,"0,57%",0.005702903778484402,0.002498768614239813,-0.006168792160762864,-0.013367111458117161,0.008251477524946906,0.007846197373204127,0.007836650811314641,0.00572689337054888
2005-09-13,5.16661,"5.142,76","5.180,27","5.142,76",,"0,79%",0.007887237843020435,0.005702903778484402,0.002498768614239813,-0.006168792160762864,-0.005305654355701168,0.008130259025043954,0.007930254708332514,0.005775800268590801
